㞋 ㄖㄨㄢˇ
㞌 ㄩㄣˋ
㞎 ㄅㄚˇ
㞏 ㄓˊ
㞐 ㄐㄩ
㞑 ㄨㄟˇ
㞒 ㄒㄧㄝˋ
㞓 ㄑㄧˋ
㞔 ㄔˇ
㞕 ㄒㄧㄝˋ
㞖 ㄘˋ
㞗 ㄑㄧㄡˊ
㞘 ㄓㄨㄛˊ
㞙 ㄋㄧㄠˋ
㞚 ㄑㄧˋ
㞛 ㄐㄧˇ
㞜 ㄊㄨㄟ
㞞 ㄙㄨㄥˊ
㞟 ㄉㄧㄢˋ
㞠 ㄌㄧㄠˊ
㞡 ㄓㄢˇ
㞢 ㄓ
㞣 ㄈㄣ
㞤 ㄘㄣˊ
㞥 ㄘㄣˊ
㞦 ㄐㄧˇ
㞧 ㄏㄨㄟˇ
㞨 ㄗˇ
㞩 ㄌㄢˊ
㞪 ㄋㄠˊ
㞫 ㄗㄡˇ
㞬 ㄑㄧㄣˇ
㞭 ㄉㄞˋ
㞯 ㄑㄧˇ
㞰 ㄒㄩˇ
㞱 ㄘㄨㄥ
㞲 ㄩㄥˋ
㞳 ㄉㄡˇ
㞴 ㄔˊ
㞵 ㄊㄠ
㞶 ㄇㄧㄣˊ
㞷 ㄏㄨㄤˊ
㞸 ㄙㄨㄟˋ
㞹 ㄎㄜˇ
㞺 ㄗㄨˊ
㞻 ㄏㄠˋ
㞼 ㄔㄥˊ
㞽 ㄒㄩㄝˋ
㞾 ㄋㄧˊ
㞿 ㄑㄧˊ
㟀 ㄌㄧㄢˊ
㟁 ㄢˋ
㟂 ㄇㄨˇ
㟃 ㄙ
㟄 ㄒㄧㄤˊ
㟅 ㄧㄤˊ
㟆 ㄏㄨㄚˊ
㟇 ㄘㄨㄛˊ
㟈 ㄑㄧㄡˊ
㟉 ㄌㄠˊ
㟊 ㄈㄨˊ
㟋 ㄉㄨㄟˋ
㟌 ㄇㄤˊ
㟍 ㄌㄤˊ
㟎 ㄊㄨㄛˊ
㟏 ㄏㄢ
㟐 ㄇㄤˊ
㟑 ㄅㄛˊ
㟒 ㄑㄩㄣ
㟓 ㄑㄧˊ
㟔 ㄏㄢ
㟖 ㄌㄨㄥˋ
㟗 ㄅㄧㄣ
㟘 ㄊㄧㄠˊ
㟙 ㄗㄜˊ
㟚 ㄑㄧˊ
㟛 ㄑㄧㄢ
㟜 ㄇㄧˊ
㟝 ㄆㄡˇ
㟞 ㄓㄢˇ
㟟 ㄒㄧㄤˋ
㟠 ㄍㄤ
㟢 ㄑㄧˊ
㟤 ㄌㄨˋ
㟥 ㄘㄣ
㟦 ㄩㄣˋ
㟧 ㄜˋ
㟨 ㄉㄨㄢ
㟩 ㄇㄧㄣˊ
㟪 ㄨㄟ
㟫 ㄑㄩㄢˊ
㟬 ㄙㄡˇ
㟭 ㄇㄧㄣˊ
㟮 ㄊㄨ
㟯 ㄜˋ
㟰 ㄇㄧㄥˇ
㟱 ㄧㄠˇ
㟲 ㄩㄢˊ
㟳 ㄌㄧˋ
㟴 ㄨㄟˊ
㟵 ㄍㄤ
㟶 ㄩㄢˊ
㟷 ㄉㄚ
㟸 ㄍㄠ
㟹 ㄌㄠˊ
㟺 ㄌㄡˇ
㟻 ㄓㄢˇ
㟼 ㄠˊ
㟽 ㄅㄧㄠ
㟾 ㄩㄥ
㟿 ㄇㄤˇ
㠀 ㄉㄠˇ
㠁 ㄘㄣ
㠂 ㄠˊ
㠄 ㄒㄧˊ
㠅 ㄈㄨˋ
㠆 ㄉㄢ
